Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
86.5,499,,,,,260,504,,,,,199,488,,,,,503,509,,,,,455,491,,,,,500,502,,,,
,,,,,,245,491,,,,,186,502,,,,,496,499,,,,,443,500,,,,,500,501,,,,
,,,,,,259,500,,,,,197,500,,,,,505,501,,,,,491,511,,,,,498,494,,,,
,,,,,,230,509,,,,,181,505,,,,,489,498,,,,,456,485,,,,,500,511,,,,
,,,,,,234,500,,,,,184,504,,,,,501,494,,,,,469,510,,,,,503,489,,,,
,,,,,,258,502,,,,,188,487,,,,,503,502,,,,,475,504,,,,,497,507,,,,
,,,,,,283,492,,,,,192,513,,,,,492,500,,,,,496,501,,,,,500,496,,,,
,,,,,,248,503,,,,,177,502,,,,,511,499,,,,,441,492,,,,,501,509,,,,
,,,,,,274,502,,,,,194,498,,,,,489,507,,,,,433,505,,,,,499,496,,,,
,,,,,,280,479,,,,,185,493,,,,,511,489,,,,,478,497,,,,,499,491,,,,
,,,,,,273,514,,,,,192,493,,,,,500,509,,,,,470,504,,,,,500,509,,,,
,,,,,,280,495,,,,,184,516,,,,,493,497,,,,,447,490,,,,,501,500,,,,
,,,,,,263,514,,,,,189,500,,,,,508,504,,,,,486,499,,,,,499,502,,,,
,,,,,,278,492,,,,,179,490,,,,,497,491,,,,,476,513,,,,,499,493,,,,
,,,,,,264,505,,,,,182,510,,,,,501,511,,,,,463,499,,,,,502,507,,,,
,,,,,,282,503,,,,,196,499,,,,,496,483,,,,,507,499,,,,,498,500,,,,
,,,,,,288,500,,,,,191,488,,,,,508,515,,,,,491,486,,,,,477,490,,,,
,,,,,,309,494,,,,,172,506,,,,,500,499,,,,,486,514,,,,,524,504,,,,
,,,,,,284,507,,,,,179,492,,,,,491,496,,,,,465,501,,,,,499,497,,,,
,,,,,,298,499,,,,,179,513,,,,,505,507,,,,,500,499,,,,,499,510,,,,
,,,,,,273,500,,,,,173,490,,,,,503,495,,,,,477,496,,,,,503,492,,,,
,,,,,,270,502,,,,,180,508,,,,,502,493,,,,,494,500,,,,,499,504,,,,
,,,,,,310,494,,,,,172,489,,,,,501,512,,,,,478,501,,,,,484,501,,,,
,,,,,,285,502,,,,,170,509,,,,,498,489,,,,,437,504,,,,,514,501,,,,
,,,,,,307,502,,,,,172,493,,,,,502,511,,,,,430,494,,,,,501,499,,,,
,,,,,,265,500,,,,,176,499,,,,,500,494,,,,,466,507,,,,,498,497,,,,
,,,,,,290,505,,,,,179,511,,,,,494,506,,,,,449,495,,,,,503,504,,,,
,,,,,,248,495,,,,,163,499,,,,,492,496,,,,,404,501,,,,,497,504,,,,
,,,,,,276,502,,,,,156,502,,,,,513,502,,,,,437,502,,,,,503,482,,,,
,,,,,,284,495,,,,,154,500,,,,,490,500,,,,,470,496,,,,,498,513,,,,
,,,,,,316,502,,,,,160,499,,,,,508,491,,,,,500,505,,,,,502,501,,,,
,,,,,,293,500,,,,,146,493,,,,,481,511,,,,,476,498,,,,,499,483,,,,
,,,,,,311,502,,,,,157,506,,,,,514,500,,,,,435,490,,,,,492,517,,,,
,,,,,,313,496,,,,,150,503,,,,,505,495,,,,,488,507,,,,,509,501,,,,
,,,,,,288,498,,,,,156,498,,,,,488,499,,,,,452,497,,,,,487,494,,,,
,,,,,,329,507,,,,,154,501,,,,,513,506,,,,,418,504,,,,,502,506,,,,
,,,,,,295,493,,,,,159,500,,,,,498,500,,,,,392,501,,,,,509,500,,,,
,,,,,,327,502,,,,,152,493,,,,,499,496,,,,,437,502,,,,,501,500,,,,
,,,,,,320,500,,,,,166,493,,,,,499,497,,,,,454,502,,,,,499,498,,,,
,,,,,,324,501,,,,,158,514,,,,,499,493,,,,,458,495,,,,,501,501,,,,
,,,,,,319,502,,,,,174,491,,,,,502,509,,,,,486,503,,,,,496,501,,,,
,,,,,,327,494,,,,,188,498,,,,,492,502,,,,,428,490,,,,,487,495,,,,
