Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
192,502,,,,,134,495,,,,,140,485,,,,,488,507,,,,,494,497,,,,,500,493,,,,
195,497,,,,,132,504,,,,,136,517,,,,,502,505,,,,,512,506,,,,,500,506,,,,
196,499,,,,,132,495,,,,,142,502,,,,,511,499,,,,,495,493,,,,,501,501,,,,
198,503,,,,,141,509,,,,,135,502,,,,,493,501,,,,,490,508,,,,,500,491,,,,
197,496,,,,,118,491,,,,,140,493,,,,,492,489,,,,,505,494,,,,,499,496,,,,
187,507,,,,,115,505,,,,,134,505,,,,,509,506,,,,,509,494,,,,,491,498,,,,
194,493,,,,,119,499,,,,,151,495,,,,,505,503,,,,,501,511,,,,,508,514,,,,
180,507,,,,,116,503,,,,,137,498,,,,,500,500,,,,,497,499,,,,,492,500,,,,
174,490,,,,,122,504,,,,,146,504,,,,,488,487,,,,,502,500,,,,,508,498,,,,
181,507,,,,,128,485,,,,,142,498,,,,,509,503,,,,,501,491,,,,,499,497,,,,
183,476,,,,,120,515,,,,,136,505,,,,,495,506,,,,,481,508,,,,,472,506,,,,
196,511,,,,,127,499,,,,,137,503,,,,,493,504,,,,,518,489,,,,,528,492,,,,
185,508,,,,,158,501,,,,,109,492,,,,,500,488,,,,,492,505,,,,,485,510,,,,
190,497,,,,,140,499,,,,,133,505,,,,,515,508,,,,,507,504,,,,,514,497,,,,
196,507,,,,,120,503,,,,,118,497,,,,,492,505,,,,,501,503,,,,,500,500,,,,
199,502,,,,,118,498,,,,,135,498,,,,,501,497,,,,,491,490,,,,,501,500,,,,
194,496,,,,,134,500,,,,,122,498,,,,,488,493,,,,,508,509,,,,,497,497,,,,
182,505,,,,,131,499,,,,,129,503,,,,,451,509,,,,,495,497,,,,,505,504,,,,
192,493,,,,,113,502,,,,,116,501,,,,,534,489,,,,,496,493,,,,,500,498,,,,
191,505,,,,,131,499,,,,,145,505,,,,,499,513,,,,,510,510,,,,,493,503,,,,
194,499,,,,,137,501,,,,,136,494,,,,,442,485,,,,,486,501,,,,,507,491,,,,
186,503,,,,,124,498,,,,,130,495,,,,,428,512,,,,,513,503,,,,,493,508,,,,
193,499,,,,,134,502,,,,,126,506,,,,,493,503,,,,,497,497,,,,,507,500,,,,
196,488,,,,,140,495,,,,,120,492,,,,,476,498,,,,,496,497,,,,,501,490,,,,
195,512,,,,,129,495,,,,,125,499,,,,,455,494,,,,,503,504,,,,,499,509,,,,
187,500,,,,,132,509,,,,,125,503,,,,,433,505,,,,,501,497,,,,,500,499,,,,
195,500,,,,,130,502,,,,,126,510,,,,,449,503,,,,,498,493,,,,,491,495,,,,
183,498,,,,,136,500,,,,,121,499,,,,,442,498,,,,,504,510,,,,,507,506,,,,
179,505,,,,,125,494,,,,,118,496,,,,,449,497,,,,,492,498,,,,,500,501,,,,
195,497,,,,,137,488,,,,,133,503,,,,,421,500,,,,,508,495,,,,,502,501,,,,
191,501,,,,,122,517,,,,,130,500,,,,,404,501,,,,,499,498,,,,,501,488,,,,
187,502,,,,,134,499,,,,,125,496,,,,,404,503,,,,,501,506,,,,,498,506,,,,
180,491,,,,,142,502,,,,,127,502,,,,,408,489,,,,,502,503,,,,,497,501,,,,
181,506,,,,,128,496,,,,,114,499,,,,,405,511,,,,,483,493,,,,,504,502,,,,
185,489,,,,,132,502,,,,,136,500,,,,,416,498,,,,,510,508,,,,,499,501,,,,
192,515,,,,,116,489,,,,,134,489,,,,,355,491,,,,,501,501,,,,,503,499,,,,
185,494,,,,,138,499,,,,,124,511,,,,,419,509,,,,,502,498,,,,,495,501,,,,
176,501,,,,,137,502,,,,,120,499,,,,,400,487,,,,,499,495,,,,,497,501,,,,
183,494,,,,,124,509,,,,,129,506,,,,,470,509,,,,,503,506,,,,,498,497,,,,
201,508,,,,,116,501,,,,,114,500,,,,,336,496,,,,,486,494,,,,,508,495,,,,
172,493,,,,,135,487,,,,,120,497,,,,,448,498,,,,,517,505,,,,,500,500,,,,
190,499,,,,,131,505,,,,,126,502,,,,,373,508,,,,,496,497,,,,,500,507,,,,
192,501,,,,,131,510,,,,,132,499,,,,,320,496,,,,,490,497,,,,,495,496,,,,
183,505,,,,,110,488,,,,,124,498,,,,,363,501,,,,,511,506,,,,,498,505,,,,
172,500,,,,,123,509,,,,,134,496,,,,,368,505,,,,,484,501,,,,,507,498,,,,
176,503,,,,,152,494,,,,,137,508,,,,,410,498,,,,,517,499,,,,,499,497,,,,
168,487,,,,,113,503,,,,,118,489,,,,,367,502,,,,,499,493,,,,,492,505,,,,
162,498,,,,,125,499,,,,,129,511,,,,,313,501,,,,,493,506,,,,,510,493,,,,
179,513,,,,,124,505,,,,,119,494,,,,,354,499,,,,,503,500,,,,,500,502,,,,
164,495,,,,,153,495,,,,,128,506,,,,,368,501,,,,,503,496,,,,,500,504,,,,
184,501,,,,,122,494,,,,,120,500,,,,,358,488,,,,,496,495,,,,,499,494,,,,
171,505,,,,,130,508,,,,,133,490,,,,,314,512,,,,,496,511,,,,,501,506,,,,
177,498,,,,,114,499,,,,,134,502,,,,,352,494,,,,,499,492,,,,,501,500,,,,
182,500,,,,,127,504,,,,,123,499,,,,,327,505,,,,,490,497,,,,,501,496,,,,
179,497,,,,,138,499,,,,,124,511,,,,,382,492,,,,,517,503,,,,,501,474,,,,
159,504,,,,,125,490,,,,,138,499,,,,,371,506,,,,,482,508,,,,,497,517,,,,
147,500,,,,,142,512,,,,,114,495,,,,,370,498,,,,,517,499,,,,,495,508,,,,
144,499,,,,,127,492,,,,,135,505,,,,,364,505,,,,,496,501,,,,,506,505,,,,
148,482,,,,,127,501,,,,,134,499,,,,,309,500,,,,,474,496,,,,,501,492,,,,
158,520,,,,,123,495,,,,,129,488,,,,,354,495,,,,,505,497,,,,,493,510,,,,
155,494,,,,,123,510,,,,,117,501,,,,,360,502,,,,,508,507,,,,,503,488,,,,
131,505,,,,,126,497,,,,,114,501,,,,,344,502,,,,,514,496,,,,,493,512,,,,
159,493,,,,,149,506,,,,,119,499,,,,,315,492,,,,,494,492,,,,,501,500,,,,
149,505,,,,,121,493,,,,,132,500,,,,,338,510,,,,,507,510,,,,,505,498,,,,
148,502,,,,,123,505,,,,,117,505,,,,,316,488,,,,,444,490,,,,,503,503,,,,
156,499,,,,,124,500,,,,,116,507,,,,,349,512,,,,,446,509,,,,,503,496,,,,
153,493,,,,,141,502,,,,,131,497,,,,,364,499,,,,,465,492,,,,,493,498,,,,
136,499,,,,,142,499,,,,,130,490,,,,,284,490,,,,,484,509,,,,,495,500,,,,
147,507,,,,,139,500,,,,,110,506,,,,,320,508,,,,,463,493,,,,,507,502,,,,
153,502,,,,,117,501,,,,,127,501,,,,,301,503,,,,,460,496,,,,,502,502,,,,
145,489,,,,,128,499,,,,,129,497,,,,,329,499,,,,,451,510,,,,,498,494,,,,
141,502,,,,,123,499,,,,,134,500,,,,,295,497,,,,,460,502,,,,,497,497,,,,
153,508,,,,,132,502,,,,,121,501,,,,,332,499,,,,,478,496,,,,,504,507,,,,
146,495,,,,,126,496,,,,,137,501,,,,,332,501,,,,,462,496,,,,,492,503,,,,
141,497,,,,,143,493,,,,,131,503,,,,,364,498,,,,,434,506,,,,,505,500,,,,
142,503,,,,,131,509,,,,,122,500,,,,,296,508,,,,,405,492,,,,,501,500,,,,
145,507,,,,,132,502,,,,,139,499,,,,,313,492,,,,,414,496,,,,,502,482,,,,
132,488,,,,,145,494,,,,,118,487,,,,,327,493,,,,,428,513,,,,,488,512,,,,
144,505,,,,,123,505,,,,,131,515,,,,,304,510,,,,,424,484,,,,,512,501,,,,
138,492,,,,,137,499,,,,,118,498,,,,,327,498,,,,,414,515,,,,,491,502,,,,
154,512,,,,,139,502,,,,,122,497,,,,,313,502,,,,,404,502,,,,,508,495,,,,
146,501,,,,,125,494,,,,,124,505,,,,,314,499,,,,,410,495,,,,,503,508,,,,
138,490,,,,,130,495,,,,,116,499,,,,,304,503,,,,,409,499,,,,,496,498,,,,
131,508,,,,,126,505,,,,,126,499,,,,,333,501,,,,,430,505,,,,,501,490,,,,
147,497,,,,,120,506,,,,,125,499,,,,,321,491,,,,,385,492,,,,,502,510,,,,
149,506,,,,,135,494,,,,,112,502,,,,,321,509,,,,,473,495,,,,,501,498,,,,
130,493,,,,,134,500,,,,,114,503,,,,,325,496,,,,,355,510,,,,,498,498,,,,
